device_name,device_range,device_communication,device_type_category,device_type_name,
Nest Thermostat,30,WiFi,Thermostats,Smart Thermostat,
Philips Hue Switch,10,ZigBee,Lighting,Smart Light Switch,
Dyson Air Quality,50,WiFi,Environmental Sensors,Air Quality Monitor,
LG SmartThinQ AC,100,WiFi,Climate Control,Smart Air Conditioner,
Dyson Pure Cool,30,WiFi,Climate Control,Smart Fan,
Nest Cam Outdoor,25,WiFi,Security,Smart Camera,
Ring Video Doorbell,30,WiFi,Security,Smart Doorbell,
August Smart Lock,10,Bluetooth,Security,Smart Lock,
Lutron Serena Smart Blind,20,ZigBee,Security,Smart Blind,
Samsung Family Hub,50,WiFi,Appliances,Smart Refrigerator,
Bosch Home Connect Oven,50,WiFi,Appliances,Smart Oven,
Nespresso Expert,10,Bluetooth,Appliances,Smart Coffee Maker,
LG Twin Wash,30,WiFi,Appliances,Smart Washer & Dryer,
Sony Bravia Smart TV,50,WiFi,Entertainment,Smart TV,
Sonos Beam,40,WiFi,Entertainment,Smart SoundBar,
Amazon Echo Dot,20,WiFi,Entertainment,Smart Speaker,
Rachio Smart Sprinkler,100,WiFi,Irrigation and Gardening,Smart Sprinkler System,
