device_name_with_location,active_from,active_to,
Nest Thermostat (Living Room),2023-11-01 08:00:00,2023-11-01 20:00:00,
Philips Hue Switch (Hallway),2023-11-02 18:00:00,2023-11-02 23:00:00,
Dyson Air Quality (Master Bedroom),2023-11-01 09:00:00,2023-11-01 17:00:00,
Dyson Air Quality (Bathroom),2023-11-02 08:00:00,2023-11-02 08:30:00,
LG SmartThinQ AC (Office Room),2023-11-01 09:30:00,2023-11-01 17:30:00,
Dyson Pure Cool (Dining Room),2023-11-02 20:00:00,2023-11-02 22:00:00,
Nest Cam Outdoor (Front Yard),2023-11-01 00:00:00,2023-11-01 23:59:59,
Ring Video Doorbell (Main Door),2023-11-01 07:00:00,2023-11-01 19:00:00,
August Smart Lock (Back Door),2023-11-01 23:00:00,2023-11-02 07:00:00,
August Smart Lock (Main Entrance),2023-11-02 22:00:00,2023-11-03 06:00:00,
Lutron Serena Smart Blind (Living Room),2023-11-02 06:30:00,2023-11-02 18:00:00,
Samsung Family Hub (Kitchen),2023-11-01 10:00:00,2023-11-01 22:00:00,
Bosch Home Connect Oven (Office),2023-11-02 17:00:00,2023-11-02 17:30:00,
Nespresso Expert (Kitchen),2023-11-02 07:00:00,2023-11-02 07:10:00,
LG Twin Wash (Laundry Room),2023-11-02 19:00:00,2023-11-02 20:30:00,
Amazon Echo Dot (Bedroom),2023-11-02 21:00:00,2023-11-03 00:00:00,
Rachio Smart Sprinkler (Backyard),2023-11-02 18:00:00,2023-11-02 18:30:00,
