device_info_id,device_type_id,device_name,device_description,device_range,device_communication,device_dataRate,device_security,device_softwareVersion,device_storageCapacity,device_energyRating,device_activePower,device_standbyPower,device_registeredOn,
1,1,Nest Thermostat,Regulates home temperature,30,WiFi,100Mbit,WPA2,v5.3,No Storage,A+,1.2,0.2,2023-11-06 18:46:24,
2,2,Philips Hue Switch,Controls lighting,10,ZigBee,250Kbit,None,v2.1,No Storage,A,0.01,0.001,2023-11-06 18:46:24,
3,3,Dyson Air Quality,Monitors air quality,50,WiFi,100Mbit,WPA2,v1.7,128GB,A++,0.5,0.3,2023-11-06 18:46:24,
4,4,LG SmartThinQ AC,Smart air conditioning,100,WiFi,1Gbit,WPA3,v3.0,No Storage,A++,2.5,1.0,2023-11-06 18:46:24,
5,5,Dyson Pure Cool,Smart fan with air purifier,30,WiFi,100Mbit,WPA2,v4.2,No Storage,A+,0.045,0.02,2023-11-06 18:46:24,
6,6,Nest Cam Outdoor,Outdoor security camera,25,WiFi,100Mbit,WPA2,v3.2,No Storage,A,0.3,0.1,2023-11-06 18:46:24,
7,7,Ring Video Doorbell,Monitors front door,30,WiFi,1Gbit,WPA2,v2.5,No Storage,A++,0.15,0.03,2023-11-06 18:46:24,
8,8,August Smart Lock,Secures the door,10,Bluetooth,1Mbit,AES256,v4.1,No Storage,A+,0.2,0.05,2023-11-06 18:46:24,
9,9,Lutron Serena Smart Blind,Automated window blinds,20,ZigBee,250Kbit,None,v1.8,No Storage,A,0.075,0.02,2023-11-06 18:46:24,
10,10,Samsung Family Hub,Smart fridge with touchscreen,50,WiFi,1Gbit,WPA2,v6.0,1TB,A++,1.8,0.9,2023-11-06 18:46:24,
11,11,Bosch Home Connect Oven,Smart cooking oven,50,WiFi,1Gbit,WPA2,v3.7,512GB,A+,3.5,1.5,2023-11-06 18:46:24,
12,12,Nespresso Expert,Connected coffee machine,10,Bluetooth,1Mbit,None,v2.2,No Storage,A++,0.25,0.1,2023-11-06 18:46:24,
13,13,LG Twin Wash,Smart washer and dryer combo,30,WiFi,100Mbit,WPA2,v5.0,No Storage,A,2.0,1.0,2023-11-06 18:46:24,
14,14,Sony Bravia Smart TV,Smart television with streaming,50,WiFi,1Gbit,WPA2,v7.3,2TB,A++,0.3,0.1,2023-11-06 18:46:24,
15,15,Sonos Beam,Smart compact soundbar,40,WiFi,1Gbit,WPA2,v2.4,No Storage,A,0.5,0.15,2023-11-06 18:46:24,
16,16,Amazon Echo Dot,Voice controlled smart speaker,20,WiFi,100Mbit,WPA2,v4.0,4GB,A,0.4,0.1,2023-11-06 18:46:24,
17,17,Rachio Smart Sprinkler,Controls garden watering,100,WiFi,100Mbit,WPA2,v3.9,No Storage,A+,0.2,0.05,2023-11-06 18:46:24,
